frequency (Hz),value calibrated mic (dB),value uncalibrated mic (dB),absolute variation (%)gain factor
2000,0.07141365785081302,0.09255502560998723,22.8419446916483,0.771580553083517
2119,-0.10323377923142282,-0.10017458318200557,-3.053864515571824,1.0305386451557184
2245,-0.1424802363918775,-0.1508024478975646,-5.518618312708105,0.944813816872919
2378,-0.08876388470133531,-0.07883629192053068,-12.592668349764518,1.1259266834976454
2520,0.19586303476918063,0.17508829573890686,11.865292847017733,1.1186529284701774
2670,-0.09701664837096789,-0.06847745552483112,-41.67677175999621,1.416767717599962
2828,-0.012295167281946448,-0.03189610816939445,-61.45245301825212,0.38547546981747877
2997,-0.17737010808396173,-0.20015908702323984,-11.38543309634109,0.8861456690365891
3175,0.32147429607177147,0.33206692011298444,3.189906431393068,0.9681009356860694
3364,-0.12401909334041013,-0.04742785461138277,-161.48999223474326,2.6148999223474325
3564,-0.1575031808584221,-0.1311399180455694,-20.103156388805896,1.2010315638880589
3775,0.10284434543274142,0.09618976766037816,6.9181763655557305,1.0691817636555572
4000,-0.04719336506441638,-0.014106897930281028,-234.54105429595486,3.345410542959548
4238,-0.018466596922310747,-0.0015095647713884506,-1123.3060331240868,12.23306033124087
4490,-0.002650796424117685,-0.02206059732388796,-87.98402243964938,0.12015977560350613
4757,0.11344075805809595,0.1643565055643308,30.97884524340043,0.6902115475659958
5040,0.10245372360963181,0.08080411994802525,26.792697792553152,1.2679269779255316
5339,0.3266929045399364,0.36951137046346805,11.587861523672638,0.8841213847632736
5657,-0.1222747285977113,-0.0131670682449771,-828.6405016117084,9.286405016117081
5993,0.0461936315402198,-0.06221710400056829,-174.24587222799354,-0.7424587222799355
6350,0.03397441908114073,0.09592117169885245,64.58089650134332,0.3541910349865668
6727,-0.03905603140518572,-0.06510967927646182,-40.01501491145403,0.5998498508854597
7127,-0.009971394724127064,-0.07551544418867855,-86.7955557551736,0.1320444424482641
7551,-0.019405080743884907,0.06631565691796273,129.2616881830642,-0.2926168818306421
8000,0.015349157767433546,-0.08130271853764659,-118.87902156718934,-0.1887902156718934
8476,-0.071788850288615,0.00015235524005006242,47219.38379344608,-471.19383793446093
8980,0.0915083277986549,0.08368364194196147,9.350317069278871,1.0935031706927887
9514,0.01888945089455055,0.005548778133626898,240.42541330092195,3.4042541330092195
10079,0.028652799833128396,0.05634691102551279,49.14929796212793,0.5085070203787206
10679,-0.04303650485156361,-0.003954559920903154,-988.2754519429511,10.882754519429511
11314,-0.0007711956392974227,-0.036502536929775155,-97.88728207910296,0.02112717920897048
11986,0.14762936506347782,0.14607778147724582,1.0621626167520137,1.0106216261675203
12699,0.01034205122367534,0.032190737729190545,67.872587106641,0.32127412893358986
13454,-0.01890805396187069,0.01317277411037301,243.53889168251496,-1.4353889168251497
14254,0.018211232907767463,-0.05210373249179705,-134.95187779615318,-0.34951877796153186
15102,-0.026041096270861746,-0.0032261889817434414,-707.1782656944375,8.071782656944377
16000,-0.02150996447187577,0.011059425115522652,294.49441763193533,-1.9449441763193531
16951,0.0018376236679384958,0.01740639952585812,89.44282724748096,0.10557172752519034
17959,0.004118890160627087,0.0072514160469886665,43.19881614932907,0.5680118385067093
19027,-0.009642614991383705,0.0011145236660726264,965.1781281022486,-8.651781281022487
20000,0.00946986994338645,0.004147200643127654,128.34366499916072,2.2834366499916077
